iter	Passed	Remaining
0	1	161
1	3	155
2	6	203
3	7	178
4	8	164
5	9	155
6	11	147
7	12	141
8	13	136
9	14	132
10	15	128
11	17	126
12	21	142
13	22	139
14	24	136
15	25	132
16	26	130
17	27	126
18	29	123
19	30	121
20	31	118
21	33	118
22	35	117
23	36	115
24	37	113
25	39	111
26	40	108
27	41	106
28	42	104
29	43	102
30	45	100
31	46	98
32	48	97
33	49	97
34	51	95
35	52	93
36	53	91
37	55	90
38	56	88
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	65	79
45	66	78
46	67	76
47	68	74
48	70	73
49	71	71
50	72	69
51	73	68
52	74	66
53	76	64
54	77	63
55	79	62
56	81	61
57	82	59
58	83	58
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	90	48
65	92	47
66	94	46
67	95	45
68	97	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	104	34
75	105	33
76	108	32
77	109	31
78	111	29
79	112	28
80	113	26
81	114	25
82	116	23
83	117	22
84	118	20
85	119	19
86	121	18
87	124	17
88	126	15
89	127	14
90	128	12
91	129	11
92	131	9
93	132	8
94	133	7
95	134	5
96	138	4
97	139	2
98	140	1
99	142	0
