iter	Passed	Remaining
0	186	186313
1	189	94801
2	195	64811
3	196	49002
4	198	39597
5	203	33702
6	204	29066
7	206	25615
8	209	23052
9	211	20892
10	212	19124
11	216	17805
12	224	17043
13	226	15955
14	228	15011
15	233	14376
16	238	13780
17	240	13128
18	243	12592
19	245	12032
20	255	11897
21	257	11424
22	258	10996
23	260	10588
24	267	10447
25	269	10103
26	271	9795
27	273	9493
28	274	9203
29	276	8948
30	283	8863
31	285	8630
32	287	8411
33	288	8197
34	289	7989
35	291	7796
36	296	7727
37	299	7571
38	300	7411
39	302	7250
40	303	7095
41	304	6948
42	305	6808
43	314	6827
44	317	6744
45	319	6621
46	321	6510
47	326	6479
48	328	6375
49	329	6266
50	331	6161
51	332	6058
52	333	5965
53	335	5871
54	336	5784
55	342	5771
56	344	5692
57	346	5629
58	349	5579
59	373	5853
60	377	5812
61	379	5743
62	381	5680
63	388	5687
64	390	5619
65	393	5566
66	394	5497
67	396	5433
68	398	5377
69	403	5364
70	405	5306
71	407	5248
72	408	5188
73	409	5130
74	411	5071
75	413	5021
76	417	5006
77	420	4968
78	421	4918
79	423	4866
80	424	4819
81	426	4770
82	427	4721
83	431	4703
84	432	4660
85	435	4625
86	436	4582
87	438	4540
88	439	4498
89	441	4466
90	443	4425
91	446	4408
92	448	4374
93	450	4339
94	451	4300
95	452	4264
96	454	4230
97	456	4202
98	457	4167
99	461	4156
100	463	4122
101	464	4090
102	465	4056
103	467	4026
104	468	3996
105	470	3966
106	471	3935
107	473	3907
108	476	3897
109	478	3869
110	479	3840
111	480	3811
112	482	3787
113	483	3760
114	485	3733
115	486	3706
116	487	3678
117	488	3653
118	490	3631
119	491	3606
120	493	3583
121	495	3563
122	496	3542
123	499	3525
124	501	3507
125	505	3505
126	507	3487
127	509	3469
128	510	3447
129	511	3425
130	513	3407
131	515	3389
132	518	3380
133	520	3361
134	522	3349
135	524	3330
136	525	3311
137	527	3292
138	528	3274
139	530	3256
140	531	3237
141	533	3222
142	535	3207
143	536	3189
144	537	3170
145	539	3152
146	540	3138
147	542	3120
148	543	3103
149	547	3101
150	549	3088
151	550	3072
152	552	3058
153	554	3043
154	555	3030
155	557	3016
156	559	3002
157	561	2991
158	563	2981
159	565	2968
160	566	2951
161	567	2936
162	569	2922
163	570	2909
164	578	2927
165	580	2917
166	582	2903
167	583	2889
168	585	2878
169	587	2866
170	596	2889
171	597	2878
172	599	2866
173	601	2856
174	608	2866
175	609	2855
176	611	2842
177	612	2828
178	613	2815
179	615	2802
180	616	2789
181	624	2807
182	625	2794
183	627	2781
184	628	2769
185	629	2756
186	631	2744
187	632	2732
188	637	2737
189	639	2725
190	640	2713
191	641	2700
192	643	2689
193	644	2677
194	645	2665
195	647	2654
196	652	2660
197	654	2649
198	655	2637
199	656	2627
200	658	2616
201	659	2605
202	660	2594
203	662	2583
204	666	2583
205	668	2575
206	669	2564
207	670	2554
208	672	2543
209	673	2533
210	674	2523
211	676	2513
212	677	2503
213	682	2506
214	683	2496
215	685	2487
216	686	2477
217	687	2467
218	689	2457
219	690	2447
220	692	2439
221	696	2441
222	698	2433
223	700	2425
224	701	2417
225	703	2410
226	705	2403
227	707	2395
228	709	2387
229	714	2392
230	716	2383
231	717	2375
232	719	2367
233	720	2358
234	722	2350
235	723	2342
236	724	2333
237	730	2338
238	731	2329
239	733	2322
240	735	2314
241	736	2307
242	738	2300
243	740	2293
244	745	2297
245	747	2290
246	748	2283
247	750	2275
248	751	2267
249	753	2260
250	754	2252
251	760	2255
252	761	2248
253	763	2242
254	764	2234
255	766	2227
256	768	2220
257	769	2213
258	773	2213
259	775	2207
260	777	2200
261	778	2193
262	780	2187
263	783	2184
264	789	2190
265	791	2182
266	792	2175
267	793	2168
268	795	2161
269	796	2154
270	798	2147
271	799	2140
272	805	2143
273	806	2137
274	807	2129
275	809	2123
276	810	2116
277	812	2109
278	813	2101
279	814	2095
280	817	2090
281	819	2087
282	821	2080
283	822	2073
284	823	2066
285	824	2059
286	826	2052
287	827	2045
288	828	2038
289	835	2044
290	836	2038
291	838	2032
292	839	2025
293	840	2018
294	842	2012
295	843	2006
296	848	2008
297	849	2002
298	851	1996
299	852	1989
300	854	1983
301	855	1977
302	856	1970
303	858	1964
304	859	1958
305	864	1960
306	865	1954
307	867	1948
308	868	1941
309	869	1936
310	871	1930
311	872	1924
312	873	1918
313	875	1912
314	880	1914
315	881	1908
316	882	1902
317	884	1896
318	885	1890
319	886	1884
320	888	1878
321	889	1873
322	894	1875
323	895	1869
324	897	1863
325	898	1857
326	900	1852
327	901	1846
328	902	1841
329	903	1835
330	905	1829
331	908	1827
332	909	1821
333	910	1815
334	911	1810
335	913	1804
336	914	1799
337	915	1793
338	917	1788
339	922	1789
340	923	1784
341	925	1780
342	926	1774
343	927	1769
344	929	1764
345	930	1759
346	932	1754
347	935	1753
348	937	1748
349	938	1743
350	940	1738
351	941	1733
352	943	1728
353	944	1723
354	945	1718
355	946	1713
356	951	1714
357	953	1709
358	954	1704
359	955	1699
360	957	1694
361	958	1689
362	960	1684
363	961	1679
364	962	1675
365	967	1676
366	969	1671
367	970	1666
368	971	1661
369	972	1656
370	974	1651
371	975	1646
372	976	1641
373	978	1637
374	980	1633
375	981	1628
376	982	1623
377	983	1619
378	985	1614
379	986	1609
380	987	1605
381	989	1600
382	992	1599
383	995	1596
384	996	1591
385	997	1587
386	999	1582
387	1000	1578
388	1001	1573
389	1003	1569
390	1004	1564
391	1009	1566
392	1011	1561
393	1012	1557
394	1013	1552
395	1015	1548
396	1016	1543
397	1017	1539
398	1018	1534
399	1020	1530
400	1024	1530
401	1026	1526
402	1027	1522
403	1028	1517
404	1030	1513
405	1031	1509
406	1032	1504
407	1034	1500
408	1035	1496
409	1040	1497
410	1042	1493
411	1043	1489
412	1044	1485
413	1046	1480
414	1047	1476
415	1049	1472
416	1054	1474
417	1056	1471
418	1057	1466
419	1059	1462
420	1060	1458
421	1061	1454
422	1062	1449
423	1064	1446
424	1070	1448
425	1072	1445
426	1074	1442
427	1076	1438
428	1077	1434
429	1079	1430
430	1080	1426
431	1084	1425
432	1086	1422
433	1087	1417
434	1088	1413
435	1089	1409
436	1091	1405
437	1092	1401
438	1093	1397
439	1094	1393
440	1096	1389
441	1100	1389
442	1102	1385
443	1103	1381
444	1104	1377
445	1105	1373
446	1107	1369
447	1108	1365
448	1109	1362
449	1111	1358
450	1115	1358
451	1117	1354
452	1118	1350
453	1119	1346
454	1121	1342
455	1122	1338
456	1123	1335
457	1124	1331
458	1126	1327
459	1131	1328
460	1133	1324
